trial_type,audio_path,video_path,image_path,button_position_x,button_position_y,button_width,button_height,button1_position_x,button1_position_y,button1_width,button1_height,button2_position_x,button2_position_y,button2_width,button2_height,background_image,overlay_image_1,overlay_image_2,correct_response,condition,expert
practice,,,image/shapetest.png,540,0,540,400,,,,,,,,,,,,,,
test,audio/wheretruck.wav,,,,,,,,,,,,,,,image/table.png,image/truck.png,image/airplane.png,button1,fam,
test,audio/fiffin.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button2,nonmatch,zoo
test,audio/teebu.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/A2.png,button2,nonmatch,mech
test,audio/posk.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button1,match,mech
test,audio/dax.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/A2.png,button1,match,zoo
test,audio/wheregiraffe.wav,,,,,,,,,,,,,,,image/table.png,image/bear.png,image/giraffe.png,button2,fam,
test,audio/gasser.wav,,,,,,,,,,,,,,,image/table.png,image/A2.png,image/A1.png,button1,match,zoo
test,audio/koba.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button2,match,mech
test,audio/smope.wav,,,,,,,,,,,,,,,image/table.png,image/V1.png,image/V2.png,button1,nonmatch,zoo
test,audio/roke.wav,,,,,,,,,,,,,,,image/table.png,image/A2.png,image/A1.png,button2,nonmatch,mech
test,audio/findbear.wav,,,,,,,,,,,,,,,image/table.png,image/bear.png,image/giraffe.png,button1,fam,
test,audio/dax.wav,,,,,,,,,,,,,,,image/table.png,image/A2.png,image/A1.png,button2,match,zoo
test,audio/fiffin.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/V1.png,button1,nonmatch,zoo
test,audio/teebu.wav,,,,,,,,,,,,,,,image/table.png,image/A2.png,image/A1.png,button1,nonmatch,mech
test,audio/posk.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/V1.png,button2,match,mech
test,audio/whereairplane.wav,,,,,,,,,,,,,,,image/table.png,image/truck.png,image/airplane.png,button2,fam,
test,audio/roke.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/A2.png,button1,nonmatch,mech
test,audio/smope.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/V1.png,button2,nonmatch,zoo
test,audio/gasser.wav,,,,,,,,,,,,,,,image/table.png,image/A1.png,image/A2.png,button2,match,zoo
test,audio/koba.wav,,,,,,,,,,,,,,,image/table.png,image/V2.png,image/V1.png,button1,match,mech
training,audio/trans3.wav,video/trans3.mp4,,,,,,,,,,,,,,,,,,,
